2023-06-01,"WALMART SUPERSTORE TORONTO, ON",72.19,
2023-05-29,"MCDONALD'S MARKHAM, ON",5.87,
2023-05-28,"HOMESENSE NORTH YORK, ON",32.46,
2023-05-26,"APPLE STORE RICHMOND HILL, ON",869.99,
2023-05-25,"GAP YORKDALE MALL, ON",54.73,
2023-05-23,"BEST BUY MARKHAM, ON",283.54,
2023-05-20,"PETSMART RICHMOND HILL, ON",43.15,
2023-05-18,"STARBUCKS SCARBOROUGH, ON",4.95,
2023-05-16,"IKEA NORTH YORK, ON",215.27,
2023-05-14,"SHOPPERS DRUG MART MARKHAM, ON",17.83,
2023-05-12,"THE BAY EATON CENTRE TORONTO, ON",189.99,
2023-05-11,"TIM HORTONS MARKHAM, ON",2.56,
2023-05-09,"CINEPLEX CINEMAS MARKHAM, ON",37.5,
2023-05-07,"ZARA YORKDALE MALL, ON",112.81,
2023-05-05,"CANADIAN TIRE MARKHAM, ON",62.99,
2023-05-04,"STARBUCKS TORONTO, ON",3.75,
2023-05-02,"CHAPMAN'S ICE CREAM MARKHAM, ON",6.27,
2023-04-30,"FOOD BASICS NORTH YORK, ON",48.52,
2023-04-29,"HMV TORONTO, ON",19.99,
2023-04-27,"CHAPTERS INDIGO MARKHAM, ON",27.63,
2023-04-25,"PETSUPPLIES PLUS RICHMOND HILL, ON",54.22,
2023-04-23,"CANADA POST MARKHAM, ON",1.5,
2023-04-22,"HOME HARDWARE MARKHAM, ON",32.18,
2023-04-20,"STARBUCKS SCARBOROUGH, ON",4.75,
2023-04-18,"WALMART SUPERSTORE TORONTO, ON",67.38,
2023-04-17,"BEST BUY MARKHAM, ON",169.99,
2023-04-15,"PETSMART RICHMOND HILL, ON",39.99,
2023-04-13,"APPLE STORE EATON CENTRE TORONTO, ON",1149.99,
2023-04-11,"SHOPPERS DRUG MART MARKHAM, ON",21.99,
2023-04-10,"TIM HORTONS MARKHAM, ON",1.99,
2023-04-08,"CINEPLEX CINEMAS MARKHAM, ON",42.75,
2023-04-06,"ZARA YORKDALE MALL, ON",97.56,
2023-04-04,"CANADIAN TIRE MARKHAM, ON",55.99,
2023-04-03,"STARBUCKS TORONTO, ON",3.25,
2023-04-01,"CHAPMAN'S ICE CREAM MARKHAM, ON",5.78,
2023-03-30,"FOOD BASICS NORTH YORK, ON",42.13,
2023-03-29,"HMV TORONTO, ON",16.49,
2023-03-27,"CHAPTERS INDIGO MARKHAM, ON",24.97,
2023-03-25,"PETSUPPLIES PLUS RICHMOND HILL, ON",49.91,
2023-03-23,"CANADA POST MARKHAM, ON",1.25,
2023-03-22,"HOME HARDWARE MARKHAM, ON",29.76,
